completed_duration_days,completed_duration_hours,branch_code,latitude,longitude,quantity,net_charge,payment_duration_days,haversine_distance_miles,requests_per_day,completed_per_day,cycle_count,sale_price,signs_per_district,cluster,cluster_colour
1.04,25.0,450,50.82885463,-0.138261576,1,3.85,128.9,3509.499099,75,84,3,147000,2281,2,Purple
1.04,25.0,450,50.82885463,-0.138261576,1,3.85,128.9,3509.499099,75,84,3,285000,2281,2,Purple
0.78,18.6,640,50.86102997,-0.167034228,1,3.75,22.1,3511.724949,26,26,2,535000,2281,3,Dark Purple
0.85,20.4,640,50.86102997,-0.167034228,1,3.75,11.1,3511.724949,58,71,2,535000,2281,3,Dark Purple
1.15,27.6,700,50.83571521,-0.149478153,1,3.8,51.7,3509.974371,54,75,2,285000,2281,2,Purple
0.68,16.4,700,50.83571521,-0.149478153,1,3.8,36.2,3509.974371,52,68,2,285000,2281,2,Purple
1.91,45.9,640,50.85551133,-0.1552589,1,3.8,51.7,3511.342055,75,60,4,240000,2281,2,Purple
1.91,45.9,640,50.85551133,-0.1552589,1,3.8,51.7,3511.342055,75,60,4,240000,2281,2,Purple
1.91,45.9,640,50.85551133,-0.1552589,1,3.8,51.7,3511.342055,75,60,4,244000,2281,2,Purple
0.93,22.2,640,50.85551133,-0.1552589,1,3.8,41.8,3511.342055,76,100,4,240000,2281,2,Purple
0.93,22.2,640,50.85551133,-0.1552589,1,3.8,41.8,3511.342055,76,100,4,240000,2281,2,Purple
0.93,22.2,640,50.85551133,-0.1552589,1,3.8,41.8,3511.342055,76,100,4,244000,2281,2,Purple
1.96,47.0,640,50.85551133,-0.1552589,1,3.8,22.9,3511.342055,39,29,4,240000,2281,2,Purple
1.96,47.0,640,50.85551133,-0.1552589,1,3.8,22.9,3511.342055,39,29,4,240000,2281,2,Purple
1.96,47.0,640,50.85551133,-0.1552589,1,3.8,22.9,3511.342055,39,29,4,244000,2281,2,Purple
1.18,28.3,640,50.85551133,-0.1552589,1,3.8,41.8,3511.342055,49,92,4,240000,2281,2,Purple
1.18,28.3,640,50.85551133,-0.1552589,1,3.8,41.8,3511.342055,49,92,4,240000,2281,2,Purple
1.18,28.3,640,50.85551133,-0.1552589,1,3.8,41.8,3511.342055,49,92,4,244000,2281,2,Purple
1.13,27.1,950,50.80133855,-0.003638547,1,3.85,67.1,3507.589868,72,68,1,305000,1786,2,Purple
1.98,47.6,450,50.81469451,-0.369929518,1,3.8,22.1,3508.579239,65,55,4,315000,2053,2,Purple
